Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,1151607,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,1151607,0.297552764415741,0,0.313942134380341
sil_ch03,Monitor CH3,1151607,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,1151607,0.107334829866886,0,0.109807267785072
sil_ch05,Monitor CH5,1151607,0.599123179912567,0,0.999958992004395
sil_ch06,Monitor CH6,1151607,0.0126260351389647,-0.000306796166114509,0.0126670142635703
sil_ch07,Monitor CH7,1151607,0,0,0
sil_ch08,Monitor CH8,1151607,0,0,0
sil_ch09,Monitor CH9,1151607,0.0934465676546097,0,0.327334970235825
sil_ch10,Monitor CH10,1151607,0.0425588265061378,0,0.109111659228802
sil_ch11,Monitor CH11,1151607,0,0,0
sil_ch12,Monitor CH12,1151607,0,0,0
sil_ch13,Monitor CH13,1151607,-0.179074615240097,-0.323418736457825,0.326191663742065
sil_ch14,Monitor CH14,1151607,-0.260750263929367,-0.319911301136017,0.320103257894516
sil_ch15,Monitor CH15,1151607,-0.00928425788879395,-0.0287659969180822,0.0946689695119858
sil_ch16,Monitor CH16,1151607,-0.0255710873752832,-0.0274164378643036,0.0337433256208897
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),600001,0.411643622074984,-1.0371000182315e-06,0.411643622074984
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),600001,-1.78436656899835,-3.26455597460647,3.28340703765153
sil_stator_id_a,Stator measurements.Stator current is_d (A),600001,2.61020288241155,-3.22740913606833,3.22776082273226
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),600001,2.02311792608823,-0.000188690942240677,2.02311792608823
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),600001,0.00703209012978467,-0.000332372095947635,0.0072725111439266
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),600001,-0.00282808945680162,-0.00377389832113676,0.00376238088591158
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),600001,0.00227597742216565,-0.00377823526885025,0.00376143673448496
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),600001,0.178435542977508,-31.9630080447291,32.2196022616756
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),600001,-0.261019701944423,-28.0750011785587,28.0826985413909
