Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,95902,0,0,0
sil_ch02,Monitor CH2,95902,-0.00125911075156182,-0.00430109538137913,0.00116286973934621
sil_ch03,Monitor CH3,95902,0,0,0
sil_ch04,Monitor CH4,95902,0.00145305506885052,-0.00147444312460721,0.00558498967438936
sil_ch05,Monitor CH5,95902,0.0124875539913774,0,0.0124875539913774
sil_ch06,Monitor CH6,95902,-6.73216127324849e-05,-0.000306796166114509,0.000203158240765333
sil_ch07,Monitor CH7,95902,0,0,0
sil_ch08,Monitor CH8,95902,0,0,0
sil_ch09,Monitor CH9,95902,0,0,0
sil_ch10,Monitor CH10,95902,0.0108144441619515,0,0.0108144441619515
sil_ch11,Monitor CH11,95902,0,0,0
sil_ch12,Monitor CH12,95902,0,0,0
sil_ch13,Monitor CH13,95902,-0.00136912928428501,-0.00433506723493338,0.000968873384408653
sil_ch14,Monitor CH14,95902,0.00134989421349019,-0.00147446745540947,0.00554601056501269
sil_ch15,Monitor CH15,95902,0.000152230262756348,-0.00182640552520752,0.00060880184173584
sil_ch16,Monitor CH16,95902,-0.000263636145973578,-0.000527237833011895,0.00237258756533265
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),50001,-1.43854331049659e-09,-1.43854331049659e-09,2.771510688217e-09
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),50001,-0.00973379566809921,-0.0488894815274835,0.02051470042268
sil_stator_id_a,Stator measurements.Stator current is_d (A),50001,-0.0131128708336138,-0.0559207985225341,0.0280124807913019
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),50001,-2.39597917309912e-07,-6.58259468154624e-07,4.71728376836625e-07
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),50001,1.12419961274876e-07,-1.72855116117806e-06,1.72735355109931e-06
