Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,2720539,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,2720539,0.301034569740295,0,0.314095437526703
sil_ch03,Monitor CH3,2720539,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,2720539,0.100239224731922,-0.01298438757658,0.109878286719322
sil_ch05,Monitor CH5,2720539,-0.047660730779171,-0.0479441694915295,0.999983668327332
sil_ch06,Monitor CH6,2720539,0.0174593366682529,-0.000306796166114509,0.0205327961593866
sil_ch07,Monitor CH7,2720539,-0.00381246232427657,-0.173617511987686,0.200000002980232
sil_ch08,Monitor CH8,2720539,0.277399897575378,-0.415948688983917,0.893702745437622
sil_ch09,Monitor CH9,2720539,0.0509844869375229,-0.047516692429781,0.0596831068396568
sil_ch10,Monitor CH10,2720539,0.0510028675198555,-0.0518466308712959,0.0520989969372749
sil_ch11,Monitor CH11,2720539,-0.00805280823260546,-0.0496932528913021,0.0546364188194275
sil_ch12,Monitor CH12,2720539,1.10132575035095,0,1.20933961868286
sil_ch13,Monitor CH13,2720539,0.0389654785394669,-0.0578165836632252,0.0516066402196884
sil_ch14,Monitor CH14,2720539,-0.012139156460762,-0.0448383800685406,0.0566363297402859
sil_ch15,Monitor CH15,2720539,-0.0476632341742516,-0.0479441694915295,0.999983668327332
sil_ch16,Monitor CH16,2720539,-0.00100176420528442,-0.173617511987686,0.200000002980232
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),1400001,2.13628854358573,-6.59328671824912e-11,2.13628854358573
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),1400001,3.17410664225984,-3.27166947934469,3.28401922956368
sil_stator_id_a,Stator measurements.Stator current is_d (A),1400001,-0.0542975440538423,-3.2206024635962,3.22935054514865
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),1400001,2.72455383643956,-2.55101634606079e-06,3.21694543014777
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),1400001,-0.000677748507410348,-0.00232881235749936,0.00769123013753421
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),1400001,0.00378237441558843,-0.00376329634767335,0.00378445306276715
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),1400001,-0.000165533678276659,-0.00376143442259875,0.00377596679924009
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),1400001,-0.317407650778456,-31.9567795934375,32.2194933911636
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),1400001,0.00542900264040383,-27.8515732625196,27.8658231824227
