Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,2691489,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,2691489,0.299402832984924,0,0.314299017190933
sil_ch03,Monitor CH3,2691489,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,2691489,0.104153141379356,-0.01298438757658,0.110504038631916
sil_ch05,Monitor CH5,2691489,0.998518645763397,0,0.999983668327332
sil_ch06,Monitor CH6,2691489,0.0281043108552694,-0.000306796166114509,0.028214693069458
sil_ch07,Monitor CH7,2691489,0.200000002980232,0,0.200000002980232
sil_ch08,Monitor CH8,2691489,-2.90570545196533,-13.0434370040894,0.733906507492065
sil_ch09,Monitor CH9,2691489,0.0167806372046471,-0.0359431579709053,0.0443164929747581
sil_ch10,Monitor CH10,2691489,0.0264424718916416,-0.0518279038369656,0.0520375445485115
sil_ch11,Monitor CH11,2691489,0.0246651545166969,-0.0447676479816437,0.0594596788287163
sil_ch12,Monitor CH12,2691489,-2.98642553389072e-05,-0.0517890751361847,0.0517251119017601
sil_ch13,Monitor CH13,2691489,-0.00772318290546536,-0.033613383769989,0.0724578872323036
sil_ch14,Monitor CH14,2691489,0.0243134647607803,-0.0645704194903374,0.0774892419576645
sil_ch15,Monitor CH15,2691489,0.331384837627411,0,0.999979138374329
sil_ch16,Monitor CH16,2691489,0.107158944010735,0,0.563245296478271
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),1400001,2.39793203517528,-6.59328671824912e-11,2.39793203517528
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),1400001,2.99704518756885,-3.28223626603033,3.27241232094807
sil_stator_id_a,Stator measurements.Stator current is_d (A),1400001,-1.0477362001203,-3.21936224714011,3.22528298658584
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),1400001,4.44929763919433,-2.55101634606079e-06,4.44929763919433
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),1400001,0.0053726964102479,-0.000239542253036452,0.00769123013753421
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),1400001,0.0036770286733492,-0.00376360833615709,0.00378373074585235
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),1400001,-0.00043891544152617,-0.00376188402663633,0.00377612726769806
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),1400001,-0.299704756375516,-31.9565051322396,32.219382153332
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),1400001,0.104775054624097,-27.8536898142019,28.0829654529948
