Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,2690586,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,2690586,0.297120928764343,0,0.314073324203491
sil_ch03,Monitor CH3,2690586,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,2690586,0.103263854980469,-0.01298438757658,0.110640689730644
sil_ch05,Monitor CH5,2690586,0.998518645763397,0,0.999983668327332
sil_ch06,Monitor CH6,2690586,0.0281043108552694,-0.000306796166114509,0.028214693069458
sil_ch07,Monitor CH7,2690586,0.200000002980232,0,0.200000002980232
sil_ch08,Monitor CH8,2690586,0.545436978340149,-4.1392617225647,13.0569906234741
sil_ch09,Monitor CH9,2690586,0.0275806821882725,-0.0475064739584923,0.0568087548017502
sil_ch10,Monitor CH10,2690586,0.0449633300304413,-0.0527624189853668,0.0532053783535957
sil_ch11,Monitor CH11,2690586,0.00591196492314339,-0.0497172139585018,0.0546444617211819
sil_ch12,Monitor CH12,2690586,-0.003948082216084,-0.0517890751361847,0.0517251119017601
sil_ch13,Monitor CH13,2690586,0.00781702250242233,-0.0582686774432659,0.0508665814995766
sil_ch14,Monitor CH14,2690586,-0.00216253381222486,-0.043988648802042,0.0524633824825287
sil_ch15,Monitor CH15,2690586,0.426528215408325,-0.223290666937828,0.999780416488647
sil_ch16,Monitor CH16,2690586,-0.0138716883957386,-0.567026615142822,0.753572463989258
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),1400001,2.39793498478129,-6.59328671824912e-11,2.39793498478129
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),1400001,3.00288325599108,-3.26641983551486,3.27361730377184
sil_stator_id_a,Stator measurements.Stator current is_d (A),1400001,-1.02520160350147,-3.2359927525144,3.22414013799772
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),1400001,4.44934677725085,-2.55101634606079e-06,4.44934677725085
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),1400001,0.00518366751058105,-0.000239542253036452,0.00769123013753421
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),1400001,0.00367831846769099,-0.00376436039364902,0.00378373074585235
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),1400001,-0.000440634845699807,-0.00376188402663633,0.00377612726769806
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),1400001,-0.300286945979262,-31.9561460705712,32.2181742679214
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),1400001,0.102520867158321,-27.8550643527536,28.0830986918204
