Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,2695799,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,2695799,0.299966901540756,0,0.314095437526703
sil_ch03,Monitor CH3,2695799,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,2695799,0.100726790726185,-0.01298438757658,0.109878286719322
sil_ch05,Monitor CH5,2695799,0.764626324176788,0,0.999983668327332
sil_ch06,Monitor CH6,2695799,0.0203274562954903,-0.000306796166114509,0.0215424075722694
sil_ch07,Monitor CH7,2695799,0.0311660896986723,-0.00378863885998726,0.200000002980232
sil_ch08,Monitor CH8,2695799,0.283774614334106,-0.257710516452789,0.580459177494049
sil_ch09,Monitor CH9,2695799,0.0120959570631385,-0.05425139144063,0.0566598363220692
sil_ch10,Monitor CH10,2695799,0.0121021755039692,-0.0518725477159023,0.0520989969372749
sil_ch11,Monitor CH11,2695799,-0.052847895771265,-0.0536671467125416,0.0546754151582718
sil_ch12,Monitor CH12,2695799,1.10132575035095,0,1.20933961868286
sil_ch13,Monitor CH13,2695799,0.00373166496865451,-0.0454945415258408,0.0489653125405312
sil_ch14,Monitor CH14,2695799,-0.0445152819156647,-0.0460516810417175,0.0487516149878502
sil_ch15,Monitor CH15,2695799,0.76470011472702,0,0.999983668327332
sil_ch16,Monitor CH16,2695799,0.0295264665037394,-0.00378863885998726,0.200000002980232
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),1400001,2.23526604980455,-6.59328671824912e-11,2.23526604980455
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),1400001,1.29005403746646,-3.27166947934469,3.28401922956368
sil_stator_id_a,Stator measurements.Stator current is_d (A),1400001,2.90382453084552,-3.2206024635962,3.22935054514865
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),1400001,3.1935669199915,-2.55101634606079e-06,3.36212599299163
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),1400001,0.000926192189477825,-0.00106755620212822,0.00769123013753421
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),1400001,0.00140761080584354,-0.00378504677035803,0.00378445306276715
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),1400001,0.00350746805203455,-0.00376143442259875,0.0037855911408077
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),1400001,-0.124176188083829,-31.9567795934375,32.2194933911636
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),1400001,-0.282023006890838,-27.8515732625196,27.8658231824227
