Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,1349370,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,1349370,0.306707262992859,0,0.311608731746674
sil_ch03,Monitor CH3,1349370,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,1349370,0.0966678112745285,-0.0116982385516167,0.109098851680756
sil_ch05,Monitor CH5,1349370,0.449342131614685,0,0.999983668327332
sil_ch06,Monitor CH6,1349370,0.00867451447993517,-0.000306796166114509,0.00888161081820726
sil_ch07,Monitor CH7,1349370,0.139976218342781,0,0.139976218342781
sil_ch08,Monitor CH8,1349370,0.168847844004631,-0.06044777110219,0.878531098365784
sil_ch09,Monitor CH9,1349370,-0.0980230197310448,-0.312532633543015,0.3563332259655
sil_ch10,Monitor CH10,1349370,-0.0395593829452991,-0.0470031946897507,0.0512960515916348
sil_ch11,Monitor CH11,1349370,0.0711007863283157,-0.271789282560349,0.301674455404282
sil_ch12,Monitor CH12,1349370,0.0156405735760927,-0.0307242088019848,0.0460883751511574
sil_ch13,Monitor CH13,1349370,-0.105147764086723,-0.428803473711014,0.477583050727844
sil_ch14,Monitor CH14,1349370,0.100288808345795,-0.367453664541245,0.400054007768631
sil_ch15,Monitor CH15,1349370,0.377604395151138,-0.00164833304006606,0.999627768993378
sil_ch16,Monitor CH16,1349370,0.168633818626404,-0.0560761839151382,0.776465117931366
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),700001,0.328978199478835,-6.59328671824912e-11,0.328978199478835
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),700001,-3.21101504701119,-3.26485944813319,3.2726472526498
sil_stator_id_a,Stator measurements.Stator current is_d (A),700001,-0.0304191595431886,-3.21923886059846,3.22587732484571
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),700001,1.40356915409514,-2.55101634606079e-06,1.40356915409514
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),700001,0.00385366835849358,-0.000232867417717064,0.00768156927589002
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),700001,-0.00370252119520272,-0.00376416057867744,0.00378253226215831
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),700001,-0.000601808272652881,-0.00376007499277675,0.00377645525686428
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),700001,0.308343936861514,-32.2184303323368,31.9999312001463
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),700001,0.00304053129234638,-27.8317276530843,27.8688259671937
