Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,3806022,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,3806022,0.302054017782211,-0.211593583226204,0.336076378822327
sil_ch03,Monitor CH3,3806022,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,3806022,0.106219172477722,-0.232278108596802,0.19135656952858
sil_ch05,Monitor CH5,3806022,0.477001339197159,0,0.999992191791534
sil_ch06,Monitor CH6,3806022,0.0941754803061485,-0.000306796166114509,0.094379335641861
sil_ch07,Monitor CH7,3806022,0.600000023841858,0,0.600000023841858
sil_ch08,Monitor CH8,3806022,0.605551481246948,-0.936532318592072,0.765848815441132
sil_ch09,Monitor CH9,3806022,-0.050993662327528,-0.0755784660577774,0.0633891448378563
sil_ch10,Monitor CH10,3806022,-0.0518782511353493,-0.0521624907851219,0.0521827265620232
sil_ch11,Monitor CH11,3806022,0.0132110603153706,-0.0604757443070412,0.0744252502918243
sil_ch12,Monitor CH12,3806022,-0.000395774841308594,-0.0522091537714005,0.0518060699105263
sil_ch13,Monitor CH13,3806022,-0.0392937585711479,-0.0798409134149551,0.0585021823644638
sil_ch14,Monitor CH14,3806022,0.0251766983419657,-0.0543906427919865,0.0892964228987694
sil_ch15,Monitor CH15,3806022,0.477001339197159,0,0.999995589256287
sil_ch16,Monitor CH16,3806022,0.600000023841858,0,0.600000023841858
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),2000001,11.6827843395627,-2.01490543464624e-11,11.6827843395627
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),2000001,-3.13574441769398,-3.27763110759541,3.63923836135613
sil_stator_id_a,Stator measurements.Stator current is_d (A),2000001,0.6090585626655,-3.24329855013597,3.23836182966176
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),2000001,14.8976714349169,-3.22389921477372e-06,14.8976714349169
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),2000001,0.0116691695637353,-0.000288877302504845,0.0125376974489256
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),2000001,-0.00302284508107455,-0.00372997582963282,0.00372160539069277
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),2000001,-0.00117016918915021,-0.00373430845916958,0.00372097177745361
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),2000001,0.305378131090701,-32.2193739546821,32.316127023609
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),2000001,-0.0609042016622092,-28.0757436972128,28.083106944032
