Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,3843837,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,3843837,0.299894034862518,0,0.314094930887222
sil_ch03,Monitor CH3,3843837,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,3843837,0.100988157093525,-0.017980020493269,0.19212780892849
sil_ch05,Monitor CH5,3843837,0.486446648836136,0,0.999992191791534
sil_ch06,Monitor CH6,3843837,0.0442546978592873,-0.000306796166114509,0.0544701740145683
sil_ch07,Monitor CH7,3843837,-0.000183916155947372,-0.0279767960309982,0.54946506023407
sil_ch08,Monitor CH8,3843837,0.277576118707657,-0.391961634159088,0.778527915477753
sil_ch09,Monitor CH9,3843837,-0.513970971107483,-0.677243113517761,0.0695178657770157
sil_ch10,Monitor CH10,3843837,-0.0514556728303432,-0.0521624907851219,0.0519360117614269
sil_ch11,Monitor CH11,3843837,0.0365149416029453,-0.0676192864775658,0.115107402205467
sil_ch12,Monitor CH12,3843837,-0.00310974288731813,-0.0521682500839233,0.051750473678112
sil_ch13,Monitor CH13,3843837,-0.695891797542572,-0.927459120750427,0.0669543594121933
sil_ch14,Monitor CH14,3843837,0.0596060417592525,-0.0644930377602577,0.172216936945915
sil_ch15,Monitor CH15,3843837,0.486446350812912,0,0.999958992004395
sil_ch16,Monitor CH16,3843837,-0.000121632438094821,-0.0279767960309982,0.550983488559723
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),2000001,9.20777228554338,-2.01490543464624e-11,9.20777228554338
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),2000001,-3.07363427617812,-3.27763110759541,3.28328525835083
sil_stator_id_a,Stator measurements.Stator current is_d (A),2000001,0.728776395918538,-3.23371455927932,3.23321395271383
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),2000001,6.94139604643064,-3.22389921477372e-06,8.54116048784811
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),2000001,-0.00141345965789017,-0.0028116736205709,0.0119690544484312
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),2000001,-0.00362486225914623,-0.00372997582963282,0.00372160539069277
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),2000001,0.00107663463387285,-0.00373430845916958,0.00372097177745361
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),2000001,0.302929323827409,-32.2190643683421,32.2193813932464
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),2000001,-0.0728740656181085,-28.0750744643238,28.083106944032
