Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,3826170,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,3826170,0.303068369626999,0,0.314520120620728
sil_ch03,Monitor CH3,3826170,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,3826170,0.0981280356645584,-0.01298438757658,0.112076938152313
sil_ch05,Monitor CH5,3826170,0.995711147785187,0,0.999983668327332
sil_ch06,Monitor CH6,3826170,0.0569342151284218,-0.000306796166114509,0.0571415647864342
sil_ch07,Monitor CH7,3826170,0.400165349245071,0,0.400165349245071
sil_ch08,Monitor CH8,3826170,0.78825044631958,-0.415948688983917,0.893702745437622
sil_ch09,Monitor CH9,3826170,0.0210439655929804,-0.047516692429781,0.0568087287247181
sil_ch10,Monitor CH10,3826170,0.0514003559947014,-0.0521306432783604,0.0520989969372749
sil_ch11,Monitor CH11,3826170,-0.00288844900205731,-0.0496932528913021,0.0546364188194275
sil_ch12,Monitor CH12,3826170,0.00588054023683071,-0.0518729090690613,0.0517927259206772
sil_ch13,Monitor CH13,3826170,-0.00223325355909765,-0.0578165836632252,0.0508599542081356
sil_ch14,Monitor CH14,3826170,-0.0135216871276498,-0.0448383800685406,0.0566363297402859
sil_ch15,Monitor CH15,3826170,0.697217106819153,-0.0621572397649288,0.999992728233337
sil_ch16,Monitor CH16,3826170,0.460654258728027,-0.172755271196365,0.485837906599045
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),2000001,6.55176798309212,-6.59328671824912e-11,6.55176798309212
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),2000001,3.04660717345896,-3.27166947934469,3.28620846307354
sil_stator_id_a,Stator measurements.Stator current is_d (A),2000001,-0.926558979127185,-3.23451171288549,3.23751729926673
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),2000001,9.01933241191369,-2.55101634606079e-06,9.01933241191369
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),2000001,0.00879898296238446,-0.000239542253036452,0.00991622467563195
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),2000001,0.00347950214432881,-0.00376329634767335,0.00378445306276715
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),2000001,0.000305622379276213,-0.00376143442259875,0.00377596679924009
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),2000001,-0.30465707556866,-32.2194234467157,32.2195126124002
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),2000001,0.0926548177410013,-28.0750732582915,28.083125047198
