Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,3814619,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,3814619,0.300295412540436,0,0.314094930887222
sil_ch03,Monitor CH3,3814619,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,3814619,0.102175407111645,-0.017980020493269,0.19135656952858
sil_ch05,Monitor CH5,3814619,0.57758629322052,0,0.999992191791534
sil_ch06,Monitor CH6,3814619,0.0445888862013817,-0.000306796166114509,0.0545409880578518
sil_ch07,Monitor CH7,3814619,6.75101691740565e-05,-0.0174599587917328,0.553801238536835
sil_ch08,Monitor CH8,3814619,0.281483888626099,-0.347367733716965,0.752808630466461
sil_ch09,Monitor CH9,3814619,-0.0911574810743332,-0.102184005081654,0.0633891448378563
sil_ch10,Monitor CH10,3814619,-0.041548565030098,-0.0521624907851219,0.0519360117614269
sil_ch11,Monitor CH11,3814619,-0.0567836686968803,-0.0604757443070412,0.0744252502918243
sil_ch12,Monitor CH12,3814619,-0.0305877551436424,-0.0521682500839233,0.051750473678112
sil_ch13,Monitor CH13,3814619,-0.106337405741215,-0.122568383812904,0.0585021823644638
sil_ch14,Monitor CH14,3814619,-0.0562277026474476,-0.0611437298357487,0.0892964228987694
sil_ch15,Monitor CH15,3814619,0.577585279941559,0,0.999995589256287
sil_ch16,Monitor CH16,3814619,-0.000395736744394526,-0.0174599587917328,0.554674983024597
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),2000001,9.24034357536298,-2.01490543464624e-11,9.24034357536298
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),2000001,-2.17693329480948,-3.27763110759541,3.28328525835083
sil_stator_id_a,Stator measurements.Stator current is_d (A),2000001,2.2739955100239,-3.2364243796619,3.23321395271383
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),2000001,6.99071670054343,-3.22389921477372e-06,8.55209090903898
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),2000001,-0.00140944791500035,-0.00252714601161913,0.0119690544484312
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),2000001,-0.0024565495696183,-0.00372997582963282,0.00372160539069277
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),2000001,0.00287181758526884,-0.00373430845916958,0.00372097177745361
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),2000001,0.217690530208286,-32.2190643683421,32.2193813932464
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),2000001,-0.227395889164412,-28.0750744643238,28.083106944032
