Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,3845471,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,3845471,0.300554871559143,0,0.314094930887222
sil_ch03,Monitor CH3,3845471,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,3845471,0.100912414491177,-0.017980020493269,0.191775098443031
sil_ch05,Monitor CH5,3845471,0.486512959003448,0,0.999992191791534
sil_ch06,Monitor CH6,3845471,0.0443289950489998,-0.000306796166114509,0.0544701740145683
sil_ch07,Monitor CH7,3845471,-6.49553621769883e-05,-0.0286976993083954,0.550493240356445
sil_ch08,Monitor CH8,3845471,0.277741730213165,-0.38304141163826,0.773216903209686
sil_ch09,Monitor CH9,3845471,-0.314887672662735,-0.39344334602356,0.0680156275629997
sil_ch10,Monitor CH10,3845471,-0.0515045896172523,-0.0521624907851219,0.0519360117614269
sil_ch11,Monitor CH11,3845471,0.0194761417806149,-0.0659830868244171,0.102746091783047
sil_ch12,Monitor CH12,3845471,-0.00312128267250955,-0.0521682500839233,0.051750473678112
sil_ch13,Monitor CH13,3845471,-0.413792043924332,-0.525387763977051,0.0646597146987915
sil_ch14,Monitor CH14,3845471,0.0354673899710178,-0.0622020326554775,0.140943691134453
sil_ch15,Monitor CH15,3845471,0.486512273550034,0,0.999981462955475
sil_ch16,Monitor CH16,3845471,-0.000276841368759051,-0.0286976993083954,0.551701664924622
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),2000001,9.20807135888239,-2.01490543464624e-11,9.20807135888239
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),2000001,-3.06402753615783,-3.27763110759541,3.28328525835083
sil_stator_id_a,Stator measurements.Stator current is_d (A),2000001,0.7412185461086,-3.23644276456399,3.23321395271383
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),2000001,6.94135109931334,-3.22389921477372e-06,8.54197301291629
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),2000001,-0.0012996497622926,-0.00292812925286942,0.0119690544484312
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),2000001,-0.00362436953442894,-0.00372997582963282,0.00372160539069277
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),2000001,0.0010770704168894,-0.00373430845916958,0.00372097177745361
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),2000001,0.302552891058809,-32.2190643683421,32.2193813932464
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),2000001,-0.0741167936679305,-28.0750744643238,28.083106944032
