Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,3806524,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,3806524,0.303274422883987,0,0.315467476844788
sil_ch03,Monitor CH3,3806524,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,3806524,0.0990867912769318,-0.017980020493269,0.113327406346798
sil_ch05,Monitor CH5,3806524,0.477001339197159,0,0.999992191791534
sil_ch06,Monitor CH6,3806524,0.095645047724247,-0.000306796166114509,0.0956878960132599
sil_ch07,Monitor CH7,3806524,0.600000023841858,0,0.600000023841858
sil_ch08,Monitor CH8,3806524,0.855000257492065,-0.0814142152667046,0.893556118011475
sil_ch09,Monitor CH9,3806524,-0.0314359553158283,-0.161571145057678,0.441568285226822
sil_ch10,Monitor CH10,3806524,-0.051900252699852,-0.0521624907851219,0.0519570931792259
sil_ch11,Monitor CH11,3806524,0.0169374495744705,-0.134201928973198,0.403506308794022
sil_ch12,Monitor CH12,3806524,0.000140919350087643,-0.0525465160608292,0.051750473678112
sil_ch13,Monitor CH13,3806524,-0.0115680675953627,-0.22841377556324,0.609201967716217
sil_ch14,Monitor CH14,3806524,0.0296972114592791,-0.173716217279434,0.555849492549896
sil_ch15,Monitor CH15,3806524,0.301789194345474,0,0.999958992004395
sil_ch16,Monitor CH16,3806524,0.625879645347595,0,0.751747965812683
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),2000001,11.8117840021099,-2.01490543464624e-11,11.8117840021099
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),2000001,-3.12744309251724,-3.27763110759541,3.28328525835083
sil_stator_id_a,Stator measurements.Stator current is_d (A),2000001,0.613911031132719,-3.23371455927932,3.23862723077979
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),2000001,15.0980655373893,-3.22389921477372e-06,15.0980655373893
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),2000001,0.0116848817993744,-0.000288877302504845,0.01258115999928
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),2000001,-0.00302711918431578,-0.00372997582963282,0.00372160539069277
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),2000001,-0.00117011849029495,-0.00373430845916958,0.00372097177745361
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),2000001,0.305048937339279,-32.2200461106562,32.2197731369057
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),2000001,-0.0613882247364409,-28.0751755949317,28.083106944032
