Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,2695598,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,2695598,0.300357639789581,0,0.314095437526703
sil_ch03,Monitor CH3,2695598,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,2695598,0.0997084602713585,-0.01298438757658,0.163113504648209
sil_ch05,Monitor CH5,2695598,0.776471376419067,0,0.999983668327332
sil_ch06,Monitor CH6,2695598,0.0205810088664293,-0.000306796166114509,0.0215551164001226
sil_ch07,Monitor CH7,2695598,0.00161978974938393,-0.00298286508768797,0.200000002980232
sil_ch08,Monitor CH8,2695598,0.310258448123932,-0.257710516452789,0.580459177494049
sil_ch09,Monitor CH9,2695598,0.014597587287426,-0.0541898906230927,0.0566598363220692
sil_ch10,Monitor CH10,2695598,0.0157286282628775,-0.0518682897090912,0.0520989969372749
sil_ch11,Monitor CH11,2695598,-0.0504283756017685,-0.0536671467125416,0.0546754151582718
sil_ch12,Monitor CH12,2695598,-0.049113966524601,-0.051846519112587,0.0517522245645523
sil_ch13,Monitor CH13,2695598,0.00515437452122569,-0.0454945415258408,0.0489653125405312
sil_ch14,Monitor CH14,2695598,-0.0421102494001389,-0.0460516810417175,0.0487516149878502
sil_ch15,Monitor CH15,2695598,0.776483118534088,0,0.999991238117218
sil_ch16,Monitor CH16,2695598,0.00468744337558746,-0.00298286508768797,0.242004126310349
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),1400001,2.23591712110273,-6.59328671824912e-11,2.23591712110273
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),1400001,1.4600059070431,-3.27166947934469,3.28401922956368
sil_stator_id_a,Stator measurements.Stator current is_d (A),1400001,2.79315788195506,-3.22124872633502,3.22935054514865
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),1400001,3.20599563089187,-2.55101634606079e-06,3.36431135116842
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),1400001,-0.00062871356651495,-0.00108424999624753,0.00769123013753421
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),1400001,0.00183739587305439,-0.00378378331057829,0.00378445306276715
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),1400001,0.00331179772920597,-0.00376143442259875,0.00378548240884883
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),1400001,-0.141501584840785,-31.9567795934375,32.2194933911636
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),1400001,-0.27152477528447,-27.8515732625196,27.8659264273279
