Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,1348483,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,1348483,0.307078510522842,0,0.311695575714111
sil_ch03,Monitor CH3,1348483,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,1348483,0.0956820771098137,-0.0124310757964849,0.10950480401516
sil_ch05,Monitor CH5,1348483,0.449342131614685,0,0.999983668327332
sil_ch06,Monitor CH6,1348483,0.0088922493159771,-0.000306796166114509,0.0088922493159771
sil_ch07,Monitor CH7,1348483,0.139976218342781,0,0.139976218342781
sil_ch08,Monitor CH8,1348483,0.0183265563100576,-0.0619750283658504,0.0492487400770187
sil_ch09,Monitor CH9,1348483,0.681639671325684,0,0.963521897792816
sil_ch10,Monitor CH10,1348483,-0.0362395644187927,-0.0395031869411469,0.0512991175055504
sil_ch11,Monitor CH11,1348483,0.702573776245117,-0.00131120404694229,0.841415226459503
sil_ch12,Monitor CH12,1348483,-0.0120534766465425,-0.0451757162809372,0.0371943973004818
sil_ch13,Monitor CH13,1348483,0.99937891960144,-0.0055664200335741,1.36491537094116
sil_ch14,Monitor CH14,1348483,0.994765162467957,-0.00269434531219304,1.18264329433441
sil_ch15,Monitor CH15,1348483,0.125041171908379,-0.00169389171060175,0.143786489963531
sil_ch16,Monitor CH16,1348483,0.00410785991698503,-0.0569525025784969,0.0665520802140236
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),700001,0.32908393960161,-6.59328671824912e-11,0.32908393960161
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),700001,-3.21496247492452,-3.2635606326617,3.24647216889078
sil_stator_id_a,Stator measurements.Stator current is_d (A),700001,-0.0420816375363212,-3.22108932068238,3.2260994675718
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),700001,1.40402531292397,-2.55101634606079e-06,1.40402531292397
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),700001,0.00381370285419444,-0.000232867417717064,0.00774467587740256
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),700001,-0.00369906639044909,-0.0037630469337641,0.00378611652660927
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),700001,-0.000608585021762822,-0.00376405204961068,0.00377538642767012
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),700001,0.308499742501789,-31.9352637911831,31.9999312001463
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),700001,0.00420839428745245,-27.8343548538447,27.8681186287255
