Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,3809215,0.300000011920929,0,0.400000005960464
sil_ch02,Monitor CH2,3809215,0.300462514162064,0,0.409872472286224
sil_ch03,Monitor CH3,3809215,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,3809215,0.101080141961575,-0.019048361107707,0.113019928336143
sil_ch05,Monitor CH5,3809215,0.477001339197159,0,0.999992191791534
sil_ch06,Monitor CH6,3809215,0.107666380703449,0,0.107758365571499
sil_ch07,Monitor CH7,3809215,0.600000023841858,0,0.600000023841858
sil_ch08,Monitor CH8,3809215,0.581480622291565,-0.259914964437485,0.833335638046265
sil_ch09,Monitor CH9,3809215,-0.05120013281703,-0.0735274702310562,0.073119230568409
sil_ch10,Monitor CH10,3809215,-0.0517084933817387,-0.0685376673936844,0.0682890862226486
sil_ch11,Monitor CH11,3809215,0.013232191093266,-0.0664577782154083,0.0678328648209572
sil_ch12,Monitor CH12,3809215,-3.60859557986259e-05,-0.0683896392583847,0.0683653503656387
sil_ch13,Monitor CH13,3809215,-0.0398290008306503,-0.0624220184981823,0.0619293823838234
sil_ch14,Monitor CH14,3809215,0.0246974024921656,-0.0569150745868683,0.0730210840702057
sil_ch15,Monitor CH15,3809215,0.477001339197159,0,0.999958992004395
sil_ch16,Monitor CH16,3809215,0.600000023841858,0,0.600000023841858
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),2000001,14.6724743363501,-5.48796445044525e-29,14.6724743363501
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),2000001,-3.10505877094535,-4.10940679806256,4.15784238262047
sil_stator_id_a,Stator measurements.Stator current is_d (A),2000001,0.637077623241147,-4.09603059724368,4.07466605887081
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),2000001,17.0014554287952,-3.63669330047147e-07,17.0014554287952
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),2000001,0.0116545899872118,-0.000395038989677569,0.013291853160596
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),2000001,-0.00305694592954222,-0.00477545191145121,0.00481665339028235
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),2000001,-0.00114524226367474,-0.00478038195787858,0.00475702397251689
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),2000001,0.304172328452857,-32.2200908660094,32.2200454785551
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),2000001,-0.0637061819427313,-28.0766060057849,28.0875767215935
