Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,96050,0,0,0
sil_ch02,Monitor CH2,96050,-0.00091425736900419,-0.00502334162592888,0.00162847712635994
sil_ch03,Monitor CH3,96050,0,0,0
sil_ch04,Monitor CH4,96050,0.00108321267180145,-0.00147441867738962,0.00556094571948051
sil_ch05,Monitor CH5,96050,0.0249751079827547,0,0.0249751079827547
sil_ch06,Monitor CH6,96050,2.33330706578272e-06,-0.000306796166114509,0.000246560579398647
sil_ch07,Monitor CH7,96050,0,0,0
sil_ch08,Monitor CH8,96050,0,0,0
sil_ch09,Monitor CH9,96050,0,0,0
sil_ch10,Monitor CH10,96050,0.00720962975174189,0,0.00720962975174189
sil_ch11,Monitor CH11,96050,0,0,0
sil_ch12,Monitor CH12,96050,0,0,0
sil_ch13,Monitor CH13,96050,-0.00107230816502124,-0.00515862787142396,0.00126375700347126
sil_ch14,Monitor CH14,96050,0.000927022832911462,-0.00147446745540947,0.00554601009935141
sil_ch15,Monitor CH15,96050,0.000152230262756348,-0.00213082646951079,0.000456611334811896
sil_ch16,Monitor CH16,96050,-0.000263636145973578,-0.000527237833011895,0.00237258756533265
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),50001,1.88719537373687e-08,-7.81998622440927e-11,1.88719537373687e-08
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),50001,-0.0094139302353757,-0.0488592882077804,0.0202139291503982
sil_stator_id_a,Stator measurements.Stator current is_d (A),50001,-0.00955863229515836,-0.0526059208958648,0.0292472808290975
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),50001,5.13234799613182e-07,-2.46454945855424e-08,1.2040442455778e-06
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),50001,1.5704646932505e-07,-1.89666055686287e-06,1.79297672961255e-06
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),50001,-1.18838985798972e-05,-1.61559791126912e-05,3.40366965373172e-06
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),50001,-1.99443425647533e-05,-2.18514948947119e-05,5.57375456341433e-06
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),50001,0.000941212711575172,-32.2999197022575,16.3014448559279
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),50001,0.000955358832651632,-28.0595281787909,28.0594950992591
