Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,3677987,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,3677987,0.304684042930603,0,0.322194188833237
sil_ch03,Monitor CH3,3677987,0.269827485084534,0,0.300000011920929
sil_ch04,Monitor CH4,3677987,0.274013251066208,0,0.310927331447601
sil_ch05,Monitor CH5,3677987,0.0339304208755493,0,0.999993860721588
sil_ch06,Monitor CH6,3677987,0.21800671517849,0,0.21800671517849
sil_ch07,Monitor CH7,3677987,0.965738952159882,0,1.04756593704224
sil_ch08,Monitor CH8,3677987,0.747732222080231,0,0.857522130012512
sil_ch09,Monitor CH9,3677987,0.0476111397147179,0,0.327334970235825
sil_ch10,Monitor CH10,3677987,0.1276595890522,-0.0154584813863039,0.149609997868538
sil_ch11,Monitor CH11,3677987,0,0,0
sil_ch12,Monitor CH12,3677987,0,0,0
sil_ch13,Monitor CH13,3677987,0.239810511469841,-0.433259814977646,0.433574795722961
sil_ch14,Monitor CH14,3677987,0.332274794578552,-0.430504828691483,0.425410032272339
sil_ch15,Monitor CH15,3677987,0.00136983394622803,-0.0599671229720116,0.098321795463562
sil_ch16,Monitor CH16,3677987,0.054569274187088,-0.0593144483864307,0.0595780499279499
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),2000001,27.4652767580708,-1.90680662916847e-10,27.4652767580708
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),2000001,2.3470452797428,-4.37926630907343,4.37192928827392
sil_stator_id_a,Stator measurements.Stator current is_d (A),2000001,-3.31757930661346,-4.29324719404194,4.33754115944452
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),2000001,34.3753320354355,-1.86679711556712e-06,34.3753320354355
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),2000001,0.0207282398467525,-7.86423155980737e-06,0.0239758372570758
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),2000001,0.003519816371662,-0.00360746030963681,0.00361180165304555
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),2000001,-0.000804813818812828,-0.00359818897409574,0.00361977780707672
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),2000001,-0.203003722226433,-32.1952370736371,32.2189404072781
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),2000001,0.276852607853803,-28.0826187777746,27.8943631333391
