Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,97160,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,97160,0.300273329019547,0,0.303209125995636
sil_ch03,Monitor CH3,97160,0,0,0
sil_ch04,Monitor CH4,97160,-0.00141972675919533,-0.00545383524149656,0.0053559523075819
sil_ch05,Monitor CH5,97160,0.0124875539913774,0,0.0124875539913774
sil_ch06,Monitor CH6,97160,7.16282642088117e-08,-0.000306796166114509,2.80159874819219e-05
sil_ch07,Monitor CH7,97160,0.00998995639383793,0,0.00998995639383793
sil_ch08,Monitor CH8,97160,-0.397866815328598,-0.398727118968964,0.116534627974033
sil_ch09,Monitor CH9,97160,0.0499371811747551,0,0.0568087287247181
sil_ch10,Monitor CH10,97160,0.0508887879550457,0,0.0513037070631981
sil_ch11,Monitor CH11,97160,0.0197254307568073,-0.000512751168571413,0.0197254307568073
sil_ch12,Monitor CH12,97160,1.10132575035095,0,1.20933961868286
sil_ch13,Monitor CH13,97160,0.0393427982926369,-0.0147066246718168,0.0490110293030739
sil_ch14,Monitor CH14,97160,0.0256248079240322,-0.00152132380753756,0.0256248079240322
sil_ch15,Monitor CH15,97160,0.0124875539913774,0,0.0124875539913774
sil_ch16,Monitor CH16,97160,0.00998995639383793,0,0.00998995639383793
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),50001,8.36253920716519e-05,-6.59328671824912e-11,8.36253920716519e-05
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),50001,2.99401511540913,0,3.05881428954894
sil_stator_id_a,Stator measurements.Stator current is_d (A),50001,-0.214176995728168,-0.275061195531143,0.0442913278241428
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),50001,0.00586156097028244,-2.55101634606079e-06,0.00586156097028244
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),50001,8.4304726313985e-05,-0.000239542253036452,0.000664405618303446
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),50001,0.00358493845705611,0,0.00360730602290607
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),50001,-0.000243152006698985,-0.000243152006698985,1.48260637674e-07
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),50001,-0.299400546550678,-0.410119191860113,31.9999312001463
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),50001,0.0214176544288794,-27.8085032198767,27.8084079705763
